CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Norte;28047836;EEI-CN;LA CIGÜEÑA;Calle Teruel, 12bis ;Fuente el Saz de Jarama;-;28140;916200892;916200912;Público;
Madrid-Este;28057842;EEI-CN;LA COLMENA;Calle De Goya, 44 ;Colmenar de Oreja;-;28380;666459560;-;Público;
Madrid-Este;28067690;EEI-CN;LA ENCINA;Calle Del Pintor Álvaro Delgado, 4 ;Olmeda de las Fuentes;-;28515;918736516;-;Público;
Madrid-Sur;28058901;EEI-CN;LA ESTACION;Paseo De La Estación, 12 ;Villamanta;-;28610;696992525;-;Público;
Madrid-Este;28073112;EEI-CN;LA ISLA DE LAS ARREÑAS;Carretera De Pastrana, 7 ;Anchuelo;-;28818;912652866;-;Público;
Madrid-Sur;28057544;EEI-CN;LA JARA;Calle Del Olivar, 4 ;Villamantilla;-;28609;918137145;918137145;Público;
Madrid-Sur;28072399;EEI-CN;LA LIEBRE Y LA TORTUGA;Calle Emma González Tablada, 2 ;Villa del Prado;-;28630;918620209;918620209;Público;
Madrid-Sur;28048063;EEI-CN;LA LUNA;Avenida Del Ferrocarril, S/n ;San Martín de Valdeiglesias;-;28680;918610808;918676509;Público;
Madrid-Sur;28074773;EEI-CN;LA MIMOSA (PROGRAMA DE CASA DE NIÑOS);Calle De La Tía Javiera, 4 ;Fuenlabrada;-;28942;918317148;-;Público;
Madrid-Sur;28064329;EEI-CN;LA MORERA;Calle De Estanislao Zazo, 35 ;Humanes de Madrid;-;28970;916049260;916049260;Público;
Madrid-Sur;28047812;EEI-CN;LA OLMA;Calle Guillermo Bonet, S/n ;Colmenar del Arroyo;-;28213;918651372;918651372;Público;
Madrid-Sur;28048075;EEI-CN;LA PAJARA PINTA;Paseo Del Olivar, 3 ;Sevilla la Nueva;-;28609;918128044;918128044;Público;
Madrid-Sur;28075856;EEI-CN;LA PIÑATA (PROGRAMA DE CASA DE NIÑOS);Calle Costa Rica, 26 ;Fuenlabrada;-;28945;916979647;916979647;Público;
Madrid-Este;28077439;EEI-CN;LAS BRISAS (PROGRAMA CASA DE NIÑOS);Avenida Conde De Belmonte, S/n ;Belmonte de Tajo;-;28390;918727501;-;Público;
Madrid-Oeste;28076046;EEI-CN;LAS CASITAS (PROGRAMA DE CASA DE NIÑOS);Calle Madrid, 38 ;Colmenarejo;-;28270;-;-;Público;
Madrid-Capital;28047903;EEI-CN;LOPE DE VEGA;Calle De Inglaterra D-11, 8 ;Madrid;Carabanchel;28019;914722560;914722560;Público;
Madrid-Este;28068891;EEI-CN;LOS ALMENDROS (PROGRAMA DE CASA DE NIÑOS);Calle Portugal, S/n ;Villalbilla;-;28810;918793567;-;Público;
